# Range /cm, dE/dx /MeV / cm, Ion Energy /MeV
4.424899999999999667e-02,1.058503531401027917e-02,9.999989999999998967e-04
4.930199999999999166e-02,1.073149804466848843e-02,1.099999999999999849e-03
5.439599999999999991e-02,1.088416682323594190e-02,1.199999999999999678e-03
5.952199999999999852e-02,1.103807681138524975e-02,1.299999999999999723e-03
6.467399999999999538e-02,1.119446921869825425e-02,1.399999999999999552e-03
6.984400000000000330e-02,1.135334404517495364e-02,1.499999999999999598e-03
7.502799999999999747e-02,1.151221887165165651e-02,1.599999999999999860e-03
8.022100000000000064e-02,1.167233490771020857e-02,1.699999999999999688e-03
8.541899999999999493e-02,1.183245094376875889e-02,1.799999999999999734e-03
9.582499999999999352e-02,1.215144180630401208e-02,1.999999999999999608e-03
1.089999999999999858e-01,1.290113239374095222e-02,2.249999999999999396e-03
1.209999999999999826e-01,1.372157192734329428e-02,2.499999999999999618e-03
1.329999999999999793e-01,1.458793621547406147e-02,2.749999999999999407e-03
1.439999999999999891e-01,1.549277800064215518e-02,2.999999999999999195e-03
1.549999999999999989e-01,1.643237365410202613e-02,3.249999999999999417e-03
1.659999999999999809e-01,1.742037648125401711e-02,3.499999999999999205e-03
1.759999999999999898e-01,1.843072108087929692e-02,3.749999999999999428e-03
1.859999999999999709e-01,1.947333712963264865e-02,3.999999999999999216e-03
2.049999999999999878e-01,2.163924784995956835e-02,4.499999999999998793e-03
2.219999999999999751e-01,2.390073170808887371e-02,4.999999999999999237e-03
2.379999999999999893e-01,2.626523596151166678e-02,5.499999999999998813e-03
2.530000000000000027e-01,2.869055948444506829e-02,5.999999999999998390e-03
2.669999999999999596e-01,3.120152646852607584e-02,6.499999999999998834e-03
2.799999999999999711e-01,3.376996145624670126e-02,6.999999999999998411e-03
3.029999999999999916e-01,3.902561518867091878e-02,7.999999999999998432e-03
3.239999999999999547e-01,4.435028017384595039e-02,8.999999999999997585e-03
3.429999999999999716e-01,4.963981892785464950e-02,9.999999999999998473e-03
3.609999999999999876e-01,5.476663510568291482e-02,1.099999999999999763e-02
3.769999999999999463e-01,5.957930113834513514e-02,1.199999999999999678e-02
3.919999999999999596e-01,6.397678256587878420e-02,1.299999999999999767e-02
4.059999999999999165e-01,6.787095350797257842e-02,1.399999999999999682e-02
4.189999999999999836e-01,7.124840890114253478e-02,1.499999999999999771e-02
4.319999999999999396e-01,7.409586780286286922e-02,1.599999999999999686e-02
4.449999999999999512e-01,7.647489420839330421e-02,1.699999999999999775e-02
4.569999999999999618e-01,7.845958832977023567e-02,1.799999999999999517e-02
4.809999999999999831e-01,8.159153246765039891e-02,1.999999999999999695e-02
5.100000000000000089e-01,8.472198715403235492e-02,2.249999999999999570e-02
5.379999999999999227e-01,8.763709197796347439e-02,2.499999999999999445e-02
5.649999999999999467e-01,9.064541164149145236e-02,2.749999999999999320e-02
5.909999999999999698e-01,9.373292047634143587e-02,2.999999999999999542e-02
6.169999999999999929e-01,9.683656503575545360e-02,3.249999999999999417e-02
6.419999999999999041e-01,9.986884004421311967e-02,3.499999999999999639e-02
6.659999999999999254e-01,1.027422402261941037e-01,3.749999999999999167e-02
6.889999999999999458e-01,1.054314449062286607e-01,3.999999999999999389e-02
7.349999999999999867e-01,1.101197417387895922e-01,4.499999999999999140e-02
7.789999999999999147e-01,1.138698082484306817e-01,4.999999999999998890e-02
8.219999999999999529e-01,1.167299274878858817e-01,5.499999999999998640e-02
8.639999999999998792e-01,1.187985273769958106e-01,5.999999999999999084e-02
9.049999999999999156e-01,1.201992323901126813e-01,6.499999999999998834e-02
9.459999999999999520e-01,1.210307186889934827e-01,6.999999999999999278e-02
1.027999999999999803e+00,1.213948895803080574e-01,7.999999999999998779e-02
1.109999999999999876e+00,1.205218227604352987e-01,8.999999999999998279e-02
1.192999999999999838e+00,1.188326606404966623e-01,9.999999999999997780e-02
1.276999999999999913e+00,1.166368367692471875e-01,1.099999999999999728e-01
1.363999999999999879e+00,1.141448602917684851e-01,1.199999999999999817e-01
1.451999999999999957e+00,1.114927677782312221e-01,1.299999999999999767e-01
1.541999999999999815e+00,1.087797442863209646e-01,1.399999999999999856e-01
1.635000000000000009e+00,1.060551899573953655e-01,1.499999999999999667e-01
1.729999999999999760e+00,1.033685794053868651e-01,1.599999999999999756e-01
1.827999999999999847e+00,1.007446375251659365e-01,1.699999999999999567e-01
1.927999999999999936e+00,9.820808921160303906e-02,1.799999999999999656e-01
2.135999999999999677e+00,9.339687539415157669e-02,1.999999999999999556e-01
2.411999999999999922e+00,8.791524704525588430e-02,2.249999999999999500e-01
2.703999999999999737e+00,8.299361522340312214e-02,2.499999999999999445e-01
3.012999999999999901e+00,7.860679578617756069e-02,2.749999999999999667e-01
3.337999999999999634e+00,7.465521890092322033e-02,2.999999999999999334e-01
3.680999999999999606e+00,7.111387419456589865e-02,3.249999999999999556e-01
4.040000000000000036e+00,6.789576528751374573e-02,3.499999999999999223e-01
4.415999999999999481e+00,6.498838078718173483e-02,3.749999999999999445e-01
4.807999999999999829e+00,6.234198542562516959e-02,3.999999999999999112e-01
5.640999999999999126e+00,5.769543047130182983e-02,4.499999999999999001e-01
6.536999999999999922e+00,5.374478449323389501e-02,4.999999999999998890e-01
7.496999999999998998e+00,5.034087892387473923e-02,5.499999999999999334e-01
8.519999999999999574e+00,4.738426805152658183e-02,5.999999999999998668e-01
9.603999999999999204e+00,4.478798032078926128e-02,6.499999999999999112e-01
1.074899999999999878e+01,4.248985595580376945e-02,6.999999999999998446e-01
1.321699999999999875e+01,3.857695516111987050e-02,7.999999999999998224e-01
1.592099999999999937e+01,3.538458894079527656e-02,8.999999999999998002e-01
1.885799999999999699e+01,3.271400240448845559e-02,9.999999999999997780e-01
2.201599999999999824e+01,3.061470740241939437e-02,1.099999999999999867e+00
2.539499999999999602e+01,2.855289692972217547e-02,1.199999999999999734e+00
2.899999999999999645e+01,2.690089662466411263e-02,1.299999999999999822e+00
3.281700000000000017e+01,2.547247540158456211e-02,1.399999999999999689e+00
3.684199999999999875e+01,2.419312344928509911e-02,1.499999999999999778e+00
4.107099999999999795e+01,2.306282835566991068e-02,1.599999999999999645e+00
4.550399999999999778e+01,2.203191691327339302e-02,1.699999999999999734e+00
5.013699999999999335e+01,2.111278135856072338e-02,1.799999999999999600e+00
5.999099999999999255e+01,1.948570578311577955e-02,1.999999999999999556e+00
7.339899999999998670e+01,1.782137778449079113e-02,2.249999999999999556e+00
8.800099999999999056e+01,1.643032441708239602e-02,2.499999999999999556e+00
1.039999999999999858e+02,1.526284392560458072e-02,2.749999999999999556e+00
1.209999999999999858e+02,1.426924944928636106e-02,2.999999999999999556e+00
1.390000000000000000e+02,1.339986778066211935e-02,3.249999999999999556e+00
1.580000000000000000e+02,1.264226572335047476e-02,3.499999999999999112e+00
1.779999999999999716e+02,1.197533154357375423e-02,3.749999999999999112e+00
1.999999999999999716e+02,1.138043592671797791e-02,3.999999999999999112e+00
2.459999999999999716e+02,1.036328329253625655e-02,4.499999999999999112e+00
2.960000000000000000e+02,9.527462689795635972e-03,4.999999999999999112e+00
3.499999999999999432e+02,8.825775882936716041e-03,5.499999999999999112e+00
4.089999999999999432e+02,8.229656433433239077e-03,5.999999999999999112e+00
4.719999999999999432e+02,7.714265255133237117e-03,6.499999999999999112e+00
5.390000000000000000e+02,7.264696662168280451e-03,6.999999999999998224e+00
6.839999999999998863e+02,6.518317621895715515e-03,7.999999999999998224e+00
8.449999999999998863e+02,5.922213066907221039e-03,8.999999999999998224e+00
1.020999999999999886e+03,5.432914596436850922e-03,9.999999999999998224e+00
1.212000000000000000e+03,5.025580641913478946e-03,1.099999999999999822e+01
1.417999999999999773e+03,4.679100710769009894e-03,1.199999999999999822e+01
1.638999999999999773e+03,4.381054018717880222e-03,1.299999999999999822e+01
1.873999999999999773e+03,4.122748375058399133e-03,1.399999999999999645e+01
2.124000000000000000e+03,3.895489106669714537e-03,1.499999999999999645e+01
2.387000000000000000e+03,3.694310134014844923e-03,1.599999999999999645e+01
2.664999999999999545e+03,3.514242895137648353e-03,1.699999999999999645e+01
2.955999999999999545e+03,3.352802488455264730e-03,1.799999999999999645e+01
3.578999999999999545e+03,3.073390075856437514e-03,1.999999999999999645e+01
4.432000000000000000e+03,2.790251552092899278e-03,2.249999999999999645e+01
5.367999999999999091e+03,2.558030672521729477e-03,2.499999999999999645e+01
6.382999999999999091e+03,2.365548234802086498e-03,2.749999999999999289e+01
7.477999999999999091e+03,2.202869845682765230e-03,2.999999999999999289e+01
8.650000000000000000e+03,2.063786354230565633e-03,3.249999999999999289e+01
8.844000000000000000e+03,2.043916947123365201e-03,3.289999999999999147e+01
