# Ion Energy /MeV, dE/dx /MeV / cm
9.999989999999998967e-04,4.386434662255196681e-02
1.099999999999999849e-03,4.367816518527458530e-02
1.199999999999999678e-03,4.350439584381569913e-02
1.299999999999999723e-03,4.336786278981227816e-02
1.399999999999999552e-03,4.324374183162735252e-02
1.499999999999999598e-03,4.314444506507941757e-02
1.599999999999999860e-03,4.305756039434996407e-02
1.699999999999999688e-03,4.299549991525750819e-02
1.799999999999999734e-03,4.294585153198354766e-02
1.999999999999999608e-03,4.289620314870956630e-02
2.249999999999999396e-03,4.288379105289107790e-02
2.499999999999999618e-03,4.294585153198353378e-02
2.749999999999999407e-03,4.306997249016845941e-02
2.999999999999999195e-03,4.323132973580885718e-02
3.249999999999999417e-03,4.342992326890474097e-02
3.499999999999999205e-03,4.365334099363760156e-02
3.749999999999999428e-03,4.390158291000745283e-02
3.999999999999999216e-03,4.417464901801428090e-02
4.499999999999998793e-03,4.477042961730191839e-02
4.999999999999999237e-03,4.541585859986351642e-02
5.499999999999998813e-03,4.608611177406210513e-02
5.999999999999998390e-03,4.680601333153466131e-02
6.499999999999998834e-03,4.751350279318872910e-02
6.999999999999998411e-03,4.825822854229826209e-02
7.999999999999998432e-03,4.974271520218995213e-02
8.999999999999997585e-03,5.133766951486622154e-02
9.999999999999998473e-03,5.293014140837878911e-02
1.099999999999999763e-02,5.451764846356395994e-02
1.199999999999999678e-02,5.610639672833097474e-02
1.299999999999999767e-02,5.768273289727950809e-02
1.399999999999999682e-02,5.925906906622804143e-02
1.499999999999999771e-02,6.080437499563032949e-02
1.599999999999999686e-02,6.234843971545078745e-02
1.699999999999999775e-02,6.386023298614315613e-02
1.799999999999999517e-02,6.537326746641737574e-02
1.999999999999999695e-02,6.834224078620074194e-02
2.249999999999999570e-02,7.195912550770941496e-02
2.499999999999999445e-02,7.549657281597972613e-02
2.749999999999999320e-02,7.894837666310244861e-02
2.999999999999999542e-02,8.231205462991389443e-02
3.249999999999999417e-02,8.560498365055989323e-02
3.499999999999999639e-02,8.881723404838573477e-02
3.749999999999999167e-02,9.195625308088244132e-02
3.999999999999999389e-02,9.501955832888636655e-02
4.499999999999999140e-02,1.009624698067805026e-01
4.999999999999998890e-02,1.066385212245770375e-01
5.499999999999998640e-02,1.120576422589308063e-01
5.999999999999999084e-02,1.172247977481691711e-01
6.499999999999998834e-02,1.221561234168561799e-01
6.999999999999999278e-02,1.268863731332836309e-01
7.999999999999998779e-02,1.354494780384614683e-01
8.999999999999998279e-02,1.433175055778037887e-01
9.999999999999997780e-02,1.503514402781433723e-01
1.099999999999999728e-01,1.567908355887772665e-01
1.199999999999999817e-01,1.628789685877477245e-01
1.299999999999999767e-01,1.687349953949124348e-01
1.399999999999999856e-01,1.743551923815257754e-01
1.499999999999999667e-01,1.799853190447939233e-01
1.599999999999999756e-01,1.853771334683469718e-01
1.699999999999999567e-01,1.907763951493911536e-01
1.799999999999999656e-01,1.960565007105778135e-01
1.999999999999999556e-01,2.065089748412465842e-01
2.249999999999999500e-01,2.186967840882987624e-01
2.499999999999999445e-01,2.301578651251782459e-01
2.749999999999999667e-01,2.406395076810204370e-01
2.999999999999999334e-01,2.500143636527277224e-01
3.249999999999999556e-01,2.585285649003807862e-01
3.499999999999999223e-01,2.661803737305649120e-01
3.749999999999999445e-01,2.728444279755135038e-01
3.999999999999999112e-01,2.786441038676621962e-01
4.499999999999999001e-01,2.878953353650173241e-01
4.999999999999998890e-01,2.944265801847079644e-01
5.499999999999999334e-01,2.987314673774357221e-01
5.999999999999998668e-01,3.011806221243406023e-01
6.499999999999999112e-01,3.020207968902943740e-01
6.999999999999998446e-01,3.016236098241025787e-01
7.999999999999998224e-01,2.982311357949922193e-01
8.999999999999998002e-01,2.923648069482982503e-01
9.999999999999997780e-01,2.850149844093779472e-01
1.099999999999999867e+00,2.770490254340277625e-01
1.199999999999999734e+00,2.687141789709519002e-01
1.299999999999999822e+00,2.602579422107713647e-01
1.399999999999999689e+00,2.520519333022914199e-01
1.499999999999999778e+00,2.440960281245542485e-01
1.599999999999999645e+00,2.365138511519118136e-01
1.699999999999999734e+00,2.291810331842629167e-01
1.799999999999999600e+00,2.222216951797924278e-01
1.999999999999999556e+00,2.094223419717630985e-01
2.249999999999999556e+00,1.952574099817832864e-01
2.499999999999999556e+00,1.828331503093887922e-01
2.749999999999999556e+00,1.719002660100652502e-01
2.999999999999999556e+00,1.622102296892389828e-01
3.249999999999999556e+00,1.536385232016589386e-01
3.499999999999999112e+00,1.460607773472236970e-01
3.749999999999999112e+00,1.392285392039346037e-01
3.999999999999999112e+00,1.330175636926484717e-01
4.499999999999999112e+00,1.222107366384575650e-01
4.999999999999999112e+00,1.131679911145656720e-01
5.499999999999999112e+00,1.054544817560677805e-01
5.999999999999999112e+00,9.879689421304066466e-02
6.499999999999999112e+00,9.299641153466373100e-02
6.999999999999998224e+00,8.787914025851989441e-02
7.999999999999998224e+00,7.927182346803654522e-02
8.999999999999998224e+00,7.277576693999129875e-02
9.999999999999998224e+00,6.673981439184173414e-02
1.099999999999999822e+01,6.198292831778782347e-02
1.199999999999999822e+01,5.792161609340221173e-02
1.299999999999999822e+01,5.439439635208632301e-02
1.399999999999999645e+01,5.131429753843999575e-02
1.499999999999999645e+01,4.858198564962781796e-02
1.599999999999999645e+01,4.616016233771522148e-02
1.699999999999999645e+01,4.397434261569545255e-02
1.799999999999999645e+01,4.201206473936671543e-02
1.999999999999999645e+01,3.860916454976885681e-02
2.249999999999999645e+01,3.511935486524990491e-02
2.499999999999999645e+01,3.223812265080746448e-02
2.749999999999999289e+01,2.984123523939422734e-02
2.999999999999999289e+01,2.779210992862350335e-02
3.249999999999999289e+01,2.604103627474223595e-02
3.289999999999999147e+01,2.579264541322256674e-02
